Title,Location,start_salary,max_salary,skills
Video Editing/Making,"Delhi, Gurgaon",7500,7500,"Colour Theory for Designers, DaVinci Resolve, Design Thinking, Instagram Marketing, Social Media Marketing, Video Editing"
Search Engine Optimization (SEO),Pune,7000,7000,"Digital Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Accounting & Taxation,Mira Bhayandar,9000,12000,"MSExcel, MSWord, Tally"
Operations,Pune,12000,12000,"MSExcel, MSWord"
Pre Sales,Noida,10000,15000,"English Proficiency Written, Sales, Sales pitch"
Graphic Designer (Social Media Posts),Remote,11000,11000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Audio Editing, Audio Making, Blender 3D, Canva, DaVinci Resolve, English Proficiency Spoken, English Proficiency Written, Final Cut Pro, Video Editing"
Architecture,Bangalore,8000,8000,"Adobe Photoshop, AutoCAD, Google SketchUp"
Instagram Reels Content Creator,Noida,5000,6000,"Content Writing, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Hindi Proficiency Written, Video Editing"
Interior Design,Bangalore,6000,8000,"Adobe Photoshop, AutoCAD, Google SketchUp"
Content Developer Academic,Bangalore,10000,10000,MSWord
Back Office Operations,Mumbai,3000,5000,"Accounting, MSExcel, MSPowerPoint, Research and Analytics"
Video Editing/Making,Bangalore,10000,10000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing"
Business Development (Sales),Bangalore,10000,10000,Sales
Fashion Design,Mumbai,8000,8000,"Adobe Illustrator, Adobe Photoshop, CorelDRAW, Effective Communication, Fashion Designing, MSExcel"
